Eventdatum	Lat	Long	rms	Depth (km)	Magnitude (Ml)
20000726	50.229	7.964	0,13	5,40	3,30
20000811	49.965	7.606	0,26	16,10	1,60
20010126	50.069	8.197	0,31	11,30	1,70
20010225	50.381	7.413	0,18	8,30	2,20
20010915	49.538	8.039	0,31	15,10	2,20
20020107	49.766	7.735	0,08	7,30	1,80
20020123	49.703	7.164	0,29	6,40	2,00
20020123	50.366	7.707	0,17	8,90	2,10
20020124	49.820	7.547	0,18	5,40	2,40
20020211	50.276	8.187	0,09	3,00	2,00
20020217	49.195	7.951	0,07	19,60	1,90
20020222	49.870	8.858	0,39	9,00	1,70
20020306	50.563	8.251	0,05	2,40	1,80
20020307	50.330	7.475	0,28	2,10	2,00
20020614	49.656	7.137	0,22	6,60	1,70
20020702	50.188	8.643	0,22	11,60	1,90
20020708	50.138	8.262	0,05	9,00	1,80
20020805	49.548	7.533	0,15	10,30	1,80
20021004	50.294	7.356	0,27	6,90	2,20
20021023	50.382	7.355	0,11	8,00	2,10
20021023	50.385	7.350	0,26	6,60	2,20
20021031	50.446	7.298	0,36	8,80	1,90
20021107	50.319	7.346	0,17	12,30	2,60
20021129	50.333	7.449	0,10	8,40	1,60
20030112	50.306	7.459	0,27	11,80	2,40
20030209	50.386	7.479	0,29	6,60	3,30
20030331	50.223	7.805	0,14	5,30	1,40
20030423	49.744	8.339	0,53	15,00	1,50
20030424	50.351	7.406	0,51	8,10	1,70
20030601	49.903	8.310	0,27	14,00	1,90
20030703	50.374	7.353	0,09	10,80	2,60
20030703	50.435	7.297	0,22	10,60	1,50
20030709	50.402	7.362	0,26	8,60	2,00
20030712	50.438	7.625	0,09	6,10	0,30
20030721	50.446	7.654	0,27	9,00	1,50
20030726	50.373	7.367	0,42	10,30	1,70
20030727	50.379	7.331	0,30	9,70	1,70
20030727	50.399	7.380	0,47	6,60	1,40
20030926	49.941	7.874	0,23	15,50	1,70
20031009	50.364	7.342	0,35	10,30	1,90
20031019	50.392	7.351	0,29	16,10	1,20
20031023	50.183	7.820	0,20	12,80	1,20
20031026	49.657	8.437	0,29	13,60	1,50
20031130	50.287	7.810	0,50	7,40	1,10
20031214	50.061	8.561	0,32	9,80	1,40
20031228	50.066	8.268	0,24	9,40	2,00
20040301	49.971	7.651	0,01	18,00	1,70
20040301	50.358	7.339	0,32	16,10	2,20
20040305	50.183	8.590	0,22	17,90	2,40
20040315	50.375	7.419	0,52	11,20	2,50
20040407	50.663	8.124	0,34	11,60	1,80
20040420	49.791	7.329	0,11	7,70	1,70
20040430	49.849	8.449	0,15	5,10	1,60
20040504	50.089	8.519	0,25	10,00	2,60
20040522	50.413	7.415	0,28	2,90	3,80
20040531	49.688	8.484	0,31	6,70	2,00
20040805	50.181	7.501	0,15	8,30	2,40
